Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	8.19904572e-05	0.00672052959	101325	101325	101325	101325	0	0	0	0	0	0	3
2	1	0.000164004647	0.0134410592	101325	101325	101325	101325	1.45519152e-11	0	0	0	0	0	3
3	1	0.000246194432	0.0201615888	101325	101325	101325	101325	1.45519152e-11	0	0	0	0	0	3
4	1	0.000329681688	0.0268821184	101325	101325	101325	101325	1.45519152e-11	0	0	0	0	0	3
5	1	0.000422755116	0.0336026479	101325	101325	101325	101325	2.91038305e-11	0	0	0	0	0	3
6	2	0.000668602353	0.0403231775	101325	101325	101325	101325	8.73114914e-11	0	0	0	0	0	3
7	2	0.00169597272	0.0470437071	101325	101325	101325	101325	8.73114914e-11	0	0	0	0	0	3
8	2	0.00832237295	0.0537642367	101325	101325	101325	101325	1.01863407e-10	0	0	0	0	0	3
9	2	0.048557094	0.0604847663	101325	101325	101325	101325	1.01863407e-10	0	0	0	0	0	3
10	3	0.182115486	0.0672052959	101325	101325	101325	101325	1.01863407e-10	0	0	0	0	0	3
11	3	0.532194908	0.0739258255	101325	101325	101325	101325	1.01863407e-10	0	0	0	0	0	3
12	3	0.910489817	0.0806463551	101325	101325	101325	101325	1.30967237e-10	0	0	0	0	0	3
13	3	1	0.0873668847	101325	101325	101325	101325	1.30967237e-10	0	0	0	0	0	3
14	4	1.38307874	0.0940874142	101325	101325	101325	101325	1.30967237e-10	0	0	0	0	0	3
15	4	1.76625734	0.100807944	101325	101325	101325	101325	1.30967237e-10	0	0	0	0	0	3
